"URL","Alternative Title#3","Alternative Title#4","Alternative Title#5","Alternative Title#6","Alternative Title#7","Title#1","Alternative Title#1","Alternative Title#2","Creator#1","Creator#2","Creator#3","Creator#4","Format#1","Duration#1","File Size#1","Subject#3","Subject#4","Description#4","Date#4","Subject#5","Description#5","Date#5","Description#6","Date#6","Description#7","Date#7","Subject#1","Subject#2","Description#2","Publisher#1","Date of Digital Conversion#1","Physical Item Location#1","Source#1","Language#1","Type#1","Digitization Specifications#1","Rights#1","FileID#1","ln_RECORDID","lnexp_MEDIAFILENAME"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB01709'>Listen to Audio</a>","","","","","","Arkansas Traveler","","","Craig, Sam (performer)","Gonzales, Violet (performer)","Gonzales, Tony (performer)","","audio/mp3","2:15","3,256,320 bytes","Folk music -- Colorado","","Fiddle Tune","","","","8/10/1952","","","","","Field recordings -- Colorado","Fiddle tunes","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 1 Tape 017 Track 09","Field recording, reel-to-reel tape, recorded 8/10/1952","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB01709","348092","UCB01709.jpg|UCB01709.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB13016'>Listen to Audio</a>","","","","","","Arkansas Traveler (fragment)","","","Child (performer)","","","","audio/mp3","0:22","536,660 bytes","Folk music -- Colorado","","Tune is Arkansas Traveler","","","","8/1/1963","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box Tape 130 Track 16","Field recording, reel-to-reel tape, recorded 8/1/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB13016","353025","UCB13016.jpg|UCB13016.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB13048'>Listen to Audio</a>","","","","","","Arrah Wanna","Arrawana","","Rice, John (performer)","Morse, Theodore F., 1873-1924 (composer)","","","audio/mp3","1:48","2,601,169 bytes","Folk music -- Colorado","","Popular Song 1906","","","","8/1/1963","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 6 Tape 130 Track 48","Field recording, reel-to-reel tape, recorded 8/1/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB13048","351580","UCB13048.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB11812'>Listen to Audio</a>","","","","","","At a Georgia Camp Meeting","","","Conilogue, Rachel (performer)","Mills, Kerry, 1869-1948 (composer)","Conilogue, C.E. (performer)","","audio/mp3","2:01","2,928,431 bytes","Popular music -- To 1901","Fiddle tunes","","","Folk music -- Colorado","","","Fiddle Tune","4/10/1963","Popular Song1897","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 5 Tape 118 Track 12","Field recording, reel-to-reel tape, recorded 4/10/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB11812","352000","UCB11812.jpg|UCB11812.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB15906'>Listen to Audio</a>","","","","","","Babes In the Woods","","","Greer, Beulah (performer)","","","","audio/mp3","1:13","1,764,833 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Traditional Ballad","","","7/8/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 159 Track 06","Field recording, reel-to-reel tape, recorded 7/8/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB15906","352521","UCB15906.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB00528'>Listen to Audio</a>","","","","","","Babes In the Woods","","","Hull, Lois (performer)","Cook, Hazel (performer)","","","audio/mp3","1:31","2,206,824 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Traditional Ballad","","","12/29/1952","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 1 Tape 005 Track 28","Field recording, reel-to-reel tape, recorded 12/29/1952","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB00528","352494","UCB00528.jpg|UCB00528.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB05414'>Listen to Audio</a>","","","","","","Babes in the Woods","","","Hutchins, Emma (performer)","","","","audio/mp3","0:58","1,396,820 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Traditional Ballad","","","11/1/1961","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 3 Tape 054 Track 14","Field recording, reel-to-reel tape, recorded 11/1/1961","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB05414","352508","UCB05414.jpg|UCB05414.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB16415'>Listen to Audio</a>","","","","","","Babes in the Woods","","","Martin, Martha (performer)","","","","audio/mp3","1:46","2,547,879 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Traditional Ballad","","","8/25/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 164 Track 15","Field recording, reel-to-reel tape, recorded 8/25/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB16415","352534","UCB16415.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB01602'>Listen to Audio</a>","","","","","","Babies on the Block","","","Craig, Sam (performer)","Gonzales, Violet (performer)","Gonzales, Tony (performer)","","audio/mp3","2:02","2,952,882 bytes","Folk music -- Colorado","","Fiddle Tune","","","","5/5/1905","","","","","Field recordings -- Colorado","Fiddle tunes","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 1 Tape 016 Track 02","Field recording, reel-to-reel tape, recorded 5/5/1905","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB01602","347916","UCB01602.jpg|UCB01602.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB20601'>Listen to Audio</a>","","","","","","Banks of Champlain","Banks of the Dee","","Schaupp, Marianna Cummings (performer)","","","","audio/mp3","5:29","7,907,579 bytes","Folk music -- Colorado","","Folk Song","","","","9/27/1970","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 8 Tape 206 Track 01","Field recording, reel-to-reel tape, recorded 9/27/1970","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB20601","348502","UCB20601.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB17104'>Listen to Audio</a>","","","","","","Banks of Claudy","On the Banks of Claudie","Banks of Claudie","Alexander, John T. (performer)","","","","audio/mp3","3:45","5,406,093 bytes","Folk music -- Colorado","","Folk Song","","","","6/1/1965","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 171 Track 04","Field recording, reel-to-reel tape, recorded 6/1/1965","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB17104","348441","UCB17104.jpg|UCB17104.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB11802'>Listen to Audio</a>","","","","","","Banks of the Ohio","On the Banks of the Old Bayou","","Conilogue, Rachel (performer)","","","","audio/mp3","1:34","2,268,264 bytes","Folk music -- Colorado","","Tradtional Song","","","","4/10/1963","","","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 5 Tape 118 Track 02","Field recording, reel-to-reel tape, recorded 4/10/1963","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB11802","352898","UCB11802.jpg|UCB11802.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB14003'>Listen to Audio</a>","","","","","","Barbara Allen","","","Addison, Wilbur (performer)","","","","audio/mp3","4:50","6,965,917 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Child Ballad #84","","","1/2/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 6 Tape 140 Track 03","Field recording, reel-to-reel tape, recorded 1/2/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB14003","346778","UCB14003.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB15509'>Listen to Audio</a>","","","","","","Barbara Allen","","","Addison, Wilbur (performer)","","","","audio/mp3","3:09","4,537,783 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Child Ballad #84","","","6/7/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 155 Track 09","Field recording, reel-to-reel tape, recorded 6/7/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB15509","346791","UCB15509.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB16413'>Listen to Audio</a>","","","","","","Barbara Allen","","","Martin, Martha (performer)","","","","audio/mp3","4:31","6,527,687 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Child Ballad #84","","","8/25/1964","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 7 Tape 164 Track 13","Field recording, reel-to-reel tape, recorded 8/25/1964","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB16413","346804","UCB16413.jpg"
"<a target=""_blank"" href='http://dcbuilder.bcr.org/streaming/index.cfm?filename=UCB10201'>Listen to Audio</a>","","","","","","Barbara Allen","","","Peyton, James Baxter (performer)","","","","audio/mp3","2:32","3,655,680 bytes","Ballads, English -- Colorado","Folk music -- Colorado","","","","Child Ballad #84","","","12/1/1962","","","Folk songs, English -- Colorado","Field recordings -- Colorado","","Boulder, CO : University of Colorado, Boulder. Howard B. Waltz Music Library.","2/28/2006","Ben Gray Lumpkin Collection, Box 5 Tape 102 Track 01","Field recording, reel-to-reel tape, recorded 12/1/1962","eng","Sound","Reel-to-reel tapes were played on a Studer 820 tape machine through a Muth (custom hand made) Analog Transfer Console. The analog signal was converted to digital using a Prism AD-2 analog to digital convertor. The digital signal was recorded using Nuendo 2.0 software at 96k/24 bit as a Broadcast Wave file via a Lynx 2 with a LS/AES interface card.","http://libluna.lib.ad.colorado.edu:8081/insight/sample/SoundModel/copyright.htm","UCB10201","346752","UCB10201.jpg|UCB10201.jpg"
